StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Pershing Square North,-3,17,-17,-5,6,-11,5,2,0,9,2,-19,6,-2,5,-8,-8,-2,-21,-7,1,-12,8,8,99,79,89,100,83,78,77,74,110,109,82,102,114,86,109,94,86,112,99,81,95,101,86,86
Washington Pl & Broadway,3,-7,5,-3,4,-4,1,-6,1,14,4,0,9,1,-3,3,2,-5,10,4,3,-5,1,-3,35,33,41,26,32,26,34,24,45,30,32,20,33,31,37,33,44,27,46,33,45,47,29,43
Fulton St & Broadway,-5,1,-3,4,0,-2,2,5,-6,-3,-1,5,6,-2,-1,2,1,4,0,0,1,-5,4,0,25,17,13,10,12,11,16,9,12,19,15,11,10,17,11,16,13,14,12,20,11,15,14,18
Broadway & W 49 St,0,1,2,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,-1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,1,0,1,0,2,0,0,4,3,1,1,3,1,1
Leonard St & Church St,0,5,0,-4,2,0,1,5,-1,1,-7,-6,4,-4,3,5,-2,0,-2,-4,-3,2,-1,0,14,11,14,14,14,20,19,17,17,7,13,12,18,12,17,19,10,18,8,20,19,16,11,16
Peck Slip & Front St,13,-5,-2,-3,6,-6,0,9,-3,-1,1,2,-4,3,0,2,2,2,8,-5,5,5,-6,-6,30,17,10,13,17,18,21,18,25,15,18,13,22,9,12,8,20,11,18,34,11,23,16,20
W 53 St & 10 Ave,-7,0,-3,3,3,1,-1,8,-6,2,2,2,4,1,-6,-2,-4,3,-3,-6,2,-2,4,-4,23,12,19,15,21,17,12,24,20,14,24,16,18,21,21,12,19,19,21,28,14,10,14,22
8 Ave & W 33 St,1,5,8,15,20,-6,-2,-1,-4,1,-9,-8,-2,2,4,-1,3,-20,-5,-13,-8,-7,8,0,41,47,53,45,48,38,34,53,46,37,63,34,30,54,57,51,40,58,47,49,62,57,58,54
E 6 St & Avenue D,-1,5,4,3,0,3,2,-3,0,-2,4,1,2,1,-1,-1,-2,8,-5,-2,-4,-1,-9,-2,11,11,6,7,10,5,6,7,6,8,8,8,4,7,3,3,6,10,9,12,10,7,15,8
E 2 St & Avenue C,-1,-1,-1,2,2,-2,2,0,2,9,-2,-4,-1,3,1,-2,3,0,-3,0,5,-1,9,-4,17,15,15,8,6,20,10,8,14,17,8,14,15,7,11,6,5,12,15,10,13,14,13,12
Broadway & W 51 St,-5,-13,7,-8,10,-3,-4,0,-6,-5,-4,-13,-6,-7,-3,-6,1,-13,-11,-6,-2,-6,-2,-6,37,39,22,30,45,38,30,42,40,39,32,41,32,37,44,33,29,29,47,32,29,32,40,35
E 19 St & 3 Ave,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1
